Status: Sucesso, Entidade: senai, UF: ro, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ro_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: to, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_to_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: ms, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ms_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: mt, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_mt_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: go, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_go_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: df, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_df_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: dn, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_dn_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: rj, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_rj_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: sp, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_sp_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: es, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_es_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: mg, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_mg_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: rs, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_rs_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: pr, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_pr_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: sc, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_sc_senai_2022-07-22.csv
